,title,author,sort,count,status,detail,site,rank1,cover,url1
225,居家抗疫笔记,修命病13,现实,51.3万字,完结,《芳华》春有春的语言夏有夏的方式不管怎么说都是一种存在今夜的首都记忆里的灯光带不走满天的繁星碧绿的春草夹杂着一寸长一寸短逝去的年华如未名湖的死水一般似曾激起片片涟漪人生的荣辱在岁月的长河里显得那么渺小似乎又那么高不可攀没有一个人会问你来自哪里又去往何方心在烧火在燃迈开臃肿的脚步继续前行没有终点也没有结点就像爱恋中的两个人没有对错,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1018242744/300,http://book.qidian.com/info/1018242744
226,每一个当下都值得,筱心123,现实,0.8万字,连载,人生会遇到坎坷，生活也会遇到不如意，但这并不是颓废的充分条件，不管怎么样我们还是有选择自己态度的自由。心向阳光，每一个当下都值得。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019620230/300,http://book.qidian.com/info/1019620230
227,青春边缘的回首,蓝田0,现实,5.2万字,连载,《青春边缘的回首》不仅是送给职场中曾经的你们，也是送给多年以后回首过往的自己。这是一篇职场回忆录，很平凡也很普通，里面有一些关于各类团建的小游戏有需要的可以进去看看，大多是自己的回忆，只是以正在进行时来写的，初次写几万字的小说，请大家多多关照！我只求不论是在小说里还是在现实生活中都能够做一个平凡而真实的自己。曾经对待工作多么的热血沸腾现在就有多么的淡定自如。曾经以为的日久天长海誓山盟也只留在了曾经。我们的青春之旅最后只得在车站挥手说再见。尽管你已泪眼模糊了双眼，看不清脚下的路，但是你还是要努力学会和青春告别！生命中的一场过客，关于你的。和他的。珍惜现在，回首过往，拥抱未来！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019283071/300,http://book.qidian.com/info/1019283071
228,蛋一筐的记录,蛋一筐,现实,0.9万字,连载,一个平凡人记录生活的日记，记录这日复一日的普通生活,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019918181/300,http://book.qidian.com/info/1019918181
229,时光的意义,原子之歌,现实,6.2万字,完结,为什么光速最大？时间是什么？量子纠缠是什么？生命的意义是什么？人类的未来如何？本文讲述一个人的成长经历以及对时间、光速、相对论、量子力学的思考。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1018318915/300,http://book.qidian.com/info/1018318915
230,再见是何年,锦秋月白,现实,4.4万字,连载,你是我一场，为别离而存在的际遇。有个人一直在原地等你，而你，在哪里？,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1018949461/300,http://book.qidian.com/info/1018949461
231,从教二十年,蔡海荣,现实,113.4万字,完结,本书又名《我的教育王国》。普通乡村教师一路努力打拼，二十年深耕教育麦田不辍，凭借过人的胆识与智慧，成功构建优质教育产业生态链，缔造商业教育帝国，成为超级亿万富豪，实现完美人生！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1016475237/300,http://book.qidian.com/info/1016475237
232,如果那不止是一个故事,忆连城,现实,6.6万字,完结,这是根据一些个人经历以及怀念读书生活而产生的作品，算是纪念一代青春吧。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1020235684/300,http://book.qidian.com/info/1020235684
233,生活主旋律,下午做了个梦,现实,31.2万字,连载,年轻的时候我们自命不凡要把一生过的精彩，人到中年以后我们就想平平淡淡就好，老了才知道平淡对于生活来讲是多么的奢侈。“你认为世界上最酷的事情是什么？”“嗯。。。。应该是一辈子只爱一个人。”,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019064044/300,http://book.qidian.com/info/1019064044
234,莓国没有草莓,a向死而生,现实,3.8万字,连载,莓国没有草莓，讲述北方小镇青年的逆袭之路。作者真人故事改编,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019108207/300,http://book.qidian.com/info/1019108207
235,星光餐厅,乖乖龙滴龙,现实,2万字,连载,米其林一星：值得停车一尝的好餐厅米其林二星：值得绕道前往品尝的餐厅米其林三星：值得为此计划一场旅行价值的餐厅这是因食物安全事件导致失去餐厅和伙伴，跌入人生低谷重燃起主厨的信念，立志打造世界最棒的米其林三星餐厅的故事。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019626195/300,http://book.qidian.com/info/1019626195
236,黎明春天,蒋凯亮,现实,16.7万字,连载,活着，就要好好的活下去，没有什么是不能克服的，只要还活着。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019787102/300,http://book.qidian.com/info/1019787102
237,流水一生,迟飞天涯,现实,5.3万字,完结,一个十七岁的北京青年，他如一叶扁舟，在历史的浪潮里随波逐流，经历了上山下乡和改革开放的时代巨变，平凡的生活里不时泛起微澜，弹指一挥间六十年过去了，在等待命运审判之时，他开始思索何谓人生。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019526452/300,http://book.qidian.com/info/1019526452
238,冷眼金瞳,蛮牛客,现实,5.2万字,连载,冷眼看世间百态，从一头耕耘的老牛到一个迟迟不肯开口的孩童，只用一只眼睛阅尽人间百味！男主两世甘为孺子牛，用双手做，用那只不同常人的眼睛看，牛眼看主人，看主人正直善良勇敢智慧。看牧他的小主人，成长之路，纵情泄欲！二世为子，看父母兄嫂层层脱变，冷眼傍观，人世间一切关系都会因为相互的需求不同在不知不觉中发生着变化和争斗！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019478289/300,http://book.qidian.com/info/1019478289
239,入世人治,徐学洋,现实,46.4万字,完结,"从上世纪80年代以来,无数人为自己的青春寻找方向的时候,作为特区都是一个终点。……80、90后在历史的浪潮中跌跌撞撞的前行着……",起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1018246253/300,http://book.qidian.com/info/1018246253
240,我是位医生,王小不二,现实,10.8万字,连载,我患有自闭症，我能不能当医生！？我们不需要有自闭症的医生为我们治疗！我们做好远向您保证，他就是最好的医生！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019452152/300,http://book.qidian.com/info/1019452152
241,我的日志2020,李怿辰,现实,1.7万字,连载,大四学生回忆录，写实也不写实，有真有假，有些像日记，有欢笑但更多的是苦恼，各位看官可以看看。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019864691/300,http://book.qidian.com/info/1019864691
242,柳叙飞满天,恋某柳仙儿,现实,6.4万字,连载,苟活二十七载，梦想？现实？一个体育彩票老板的赌上人生，苟到巅峰的故事,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1020048078/300,http://book.qidian.com/info/1020048078
243,忆往昔仍是此间少年,我有三只耳,现实,47.7万字,完结,过后才会发现，高中时代的所有不经意都如此令人怀念!,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019189401/300,http://book.qidian.com/info/1019189401
244,渣有何难,王七十二,现实,4.4万字,连载,所有的渣男都是十恶不赦么，或许并不，或许有的真的是有苦难言吧。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019935043/300,http://book.qidian.com/info/1019935043
245,重生之恰年少,喝阔咯的猫,现实,9.1万字,完结,“前两天路过中学，看到两个像是情侣的中学生拉着手走出校门，两人耳鬓厮磨，不禁让我想起了我年轻的时候。”“想起了你的初恋？”“不···”“那时的我也是这样看着同学拉着手从眼前走过”,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1020061708/300,http://book.qidian.com/info/1020061708
246,关于人生逆转,一天忧伤,现实,3.4万字,连载,人生曲曲折折，只能朝着认定的方向一往直前。哪怕遍体鳞伤，一无所有！人生没有退路，如果有，可以重置的人生就失去了意义了。珍惜自己所拥有的东西，奋斗出不一样的人生！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1019758734/300,http://book.qidian.com/info/1019758734
247,自由挂在树梢,rithe,现实,8.1万字,完结,一群孩子做了这个年纪正常人想都没想过的事,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1020114648/300,http://book.qidian.com/info/1020114648
