,title,author,sort,count,status,detail,site,rank1,cover,url1
1362,诗盛长歌,一笔落寒,历史,1.2万字,连载,【中华文化博大精深，弘扬学习古诗词更是别有一番风味。】张洛枳从21世纪意外来到极具古风的“腾国”境内，这里以“诗斗”为荣，无人不爱、无人不会！这一年，恰逢天下大旱，而腾国大帝又昏庸无道，国疆危机四伏……且看他如何凭借一腔“诗词”热血，救世济民……幽默风趣，家国情怀……洛枳曰：“以诗斗逗妹，其乐无穷！”,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017592987/300,http://book.qidian.com/info/1017592987
1363,大昊仙国,俺是平凡人,历史,0.4万字,连载,大昊天庭夺天地之造化，聚万物之气运。集宗教之功德，修主宰之命运。开始于九国争霸，帝昊一统天下，踏上举国修仙之路，与人斗，与仙斗，与天斗。这是个很长很长的故事……本书定位权谋，争霸，举国修仙，书中人物尽量不无脑。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017563927/300,http://book.qidian.com/info/1017563927
1364,筠洲,胡三叨,历史,1.1万字,连载,筠洲大陆，草原各部相互残杀，中原大地年年战火，社稷有累卵之危，众生有倒悬之苦。慕容氏、拓跋氏、长孙氏、宇文氏草原称雄，晋国、楚国、吴国、秦国中原争霸。慕容风穿越筠洲大陆，成为慕容氏遣送到晋国的质子，身处异国他乡，随时都有性命之忧。且看他如何装疯卖傻，又如何一步步变得强大。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017608198/300,http://book.qidian.com/info/1017608198
1365,星河故人,黑莓灰,历史,7.5万字,连载,当一群人用最原始的方法仰望星空，看见的会是什么？,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017583205/300,http://book.qidian.com/info/1017583205
1366,奉命寻妃,王妖怪,历史,1.2万字,连载,皇上有旨，让我寻便天下美人，天下有三美，南方有倾国之貌，北方有冰冷之颜，西方有绝世之艳。身为臣子，只有遵从，漫长艰难的寻妃之旅，开始了。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017623827/300,http://book.qidian.com/info/1017623827
1367,曹魏第一将,香烟有瘾,历史,1万字,完结,新书:(三国新霸主)已经发布，签约合同也已经到了，有兴趣的老铁欢迎入驻。故事纯属虚幻，太较真的就不要来看了。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017586806/300,http://book.qidian.com/info/1017586806
1368,照华闲少,车一进二,历史,1.4万字,连载,魂穿未知界面，谱写辉煌人生。且看叶千如何纵横天下！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017499280/300,http://book.qidian.com/info/1017499280
1369,大明风华孙后传,醒来有泪痕,历史,7.3万字,完结,抱歉，本文已下架，本文已下架，抱歉，本文已下架，本文已下架,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017365410/300,http://book.qidian.com/info/1017365410
1370,大明风华之我是朱瞻基,紫米球,历史,3.7万字,连载,正在追剧的朱基，睡了一觉后发现穿越了他竟然成了剧中唯一的孙子——朱瞻基选择系统激活成功，请宿主做出选择汉王与赵王正在发生口角选择一：劝和（别吵了，给大侄个面子）奖励一：白银抽奖X1选择二：添油加醋（二叔，三叔一直暗地里给你使绊子。三叔，二叔一直不把你当人，跟我说你比公公还公公！）奖励二：黄金抽奖X1朱瞻基微微一笑：都是我亲叔叔......我当然选择二了！然后汉王跟赵王扭打一团朱瞻基不忘记继续说：二叔，你打他嘴巴子啊，三叔，你个矮没优势，你不会打他膝盖吗？美若天仙的孙若微，胡善祥还有具有大才的于谦、徐滨，一个都不能跑毕竟朕的志向，可是..,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017679476/300,http://book.qidian.com/info/1017679476
1371,边塞风云,猪角,历史,4.4万字,连载,一介凡人阴差阳错的无奈逃亡，生死间磨难中的成长，铸就一曲边塞无敌曲！一个落魄胡汉交杂的边塞城市，饱经战火苦难中的威武，谱写一曲抗争的命运曲！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017503100/300,http://book.qidian.com/info/1017503100
1372,明末之武勋复起,安喜乐01,历史,39.8万字,连载,阳武侯的大表弟！大明武勋最后的希望！崇祯皇帝最信任的武勋！顶着这些头衔的薛仲到最后发现，自己好像被崇祯坑了！薛仲:我们的口号是？饮马瀚海，放牧南澳！扬刀漠北，寰垄美洲！,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017521671/300,http://book.qidian.com/info/1017521671
1373,一卦高手,萌虾夏侯,历史,4万字,连载,方原穿越之后，在成为文臣权倾天下和武将纵横天下之中艰难选择，甚至在要出现了“称王一统天下”的选项的时候，一个死鬼出现在他的面前。……这大概是一个异世界聊斋的故事。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017506011/300,http://book.qidian.com/info/1017506011
1374,李小飞传奇,盖王,历史,4.3万字,连载,主角李小飞只是普通人，他只是他自己的主角，不是时代的主角。他有自己的信念，有良知，也有小心思小毛病，他与时代抗争，最终还是过上了自己想要的生活。一个人的成功，是最终按自己的方式过完这一生。,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017668939/300,http://book.qidian.com/info/1017668939
1375,紫玉笄,丫笑,历史,0.5万字,连载,我叫白叶叶，和老伴儿在一次旅途中，陷入了另外一个空间，那是一个充满危险的世界……,起点中文网,--,https://qidian.qpic.cn/qdbimg/349573/1017511037/300,http://book.qidian.com/info/1017511037
